title,dtg,dist,release,genre,runtime,budget,rating,foreign,foreign_dist,foreign_release,foreign_opening,foreign_pct,foreign_total,foreign_asof,hungary,hun_dist,hun_release,hun_opening,hun_pct,hun_total,hun_asof
Dolphin Tale,"$72,286,779",Warner Bros.,"September 23, 2011",Family,1 hrs. 52 min.,$37 million,PG,FOREIGN TOTAL,-,9/22/11,n/a,-,"$23,117,618",1/29/12,Hungary,InterCom,10/20/11,"$86,744",26.8%,"$323,073",11/27/11
No Strings Attached,"$70,662,220",Paramount,"January 21, 2011",Comedy,1 hrs. 50 min.,$25 million,R,FOREIGN TOTAL,-,2/4/11,"$33,528",0%,"$78,565,857",9/11/11,Hungary,UIP,2/10/11,"$169,604",34.3%,"$494,724",3/6/11
Mr. Popper's Penguins,"$68,224,452",Fox,"June 17, 2011",Family Comedy,1 hrs. 35 min.,$55 million,PG,FOREIGN TOTAL,-,6/15/11,"$838,218",0.7%,"$119,137,302",10/23/11,Hungary,InterCom,6/23/11,"$93,999",17.9%,"$524,149",8/7/11
Happy Feet Two,"$64,006,466",Warner Bros.,"November 18, 2011",Animation,1 hrs. 45 min.,N/A,PG,FOREIGN TOTAL,-,11/17/11,"$2,600,000",3%,"$86,400,000",2/19/12,Hungary,InterCom,12/22/11,"$75,045",10.8%,"$693,632",1/29/12
Unknown,"$63,686,397",Warner Bros.,"February 18, 2011",Drama / Thriller,1 hrs. 49 min.,$30 million,PG-13,FOREIGN TOTAL,-,2/17/11,"$4,558,400",6.8%,"$67,100,000",5/22/11,Hungary,InterCom,4/14/11,"$92,208",29.8%,"$309,755",5/22/11
The Adjustment Bureau,"$62,495,645",Universal,"March 4, 2011",Sci-Fi Thriller,1 hrs. 39 min.,$50.2 million,PG-13,FOREIGN TOTAL,-,3/2/11,"$10,375,221",15.9%,"$65,373,734",8/24/11,Hungary,UIP,3/31/11,"$97,884",30.1%,"$325,229",5/1/11
The Lincoln Lawyer,"$58,009,200",Lionsgate,"March 18, 2011",Crime Drama,1 hrs. 59 min.,$40 million,R,FOREIGN TOTAL,-,3/17/11,"$1,057,118",6.2%,"$17,000,000",5/22/11,Hungary,-,6/9/11,"$54,239",24%,"$225,864",7/10/11
Midnight in Paris,"$56,817,045",Sony Classics,"May 20, 2011",Romantic Comedy,1 hrs. 28 min.,$17 million,PG-13,FOREIGN TOTAL,-,5/11/11,"$5,889,116",6.2%,"$94,302,174",5/27/12,Hungary,Budapest,11/10/11,"$45,126",34.3%,"$131,556",11/27/11
Friends with Benefits,"$55,802,754",Sony / Screen Gems,"July 22, 2011",Comedy,2 hrs. 0 min.,$35 million,R,FOREIGN TOTAL,-,7/22/11,"$92,905",0.1%,"$93,739,491",11/6/11,Hungary,InterCom,9/22/11,"$109,638",24.9%,"$440,665",10/23/11
I Am Number Four,"$55,100,437",Buena Vista,"February 18, 2011",Sci-Fi Adventure,1 hrs. 44 min.,$60 million,PG-13,FOREIGN TOTAL,-,2/17/11,"$2,366,660",2.5%,"$94,778,000",7/24/11,Hungary,Forum,2/17/11,"$95,024",40.8%,"$233,164",3/13/11
Source Code,"$54,712,227",Summit Entertainment,"April 1, 2011",Sci-Fi Thriller,1 hrs. 34 min.,$32 million,PG-13,FOREIGN TOTAL,-,3/31/11,"$5,690,126",6.1%,"$92,620,470",1/29/12,Hungary,-,4/21/11,"$60,576",24.3%,"$249,153",6/5/11
New Year's Eve,"$54,544,638",Warner Bros. (New Line),"December 9, 2011",Romantic Comedy,1 hrs. 57 min.,$56 million,PG-13,FOREIGN TOTAL,-,12/8/11,"$12,750,000",14.6%,"$87,500,000",1/15/12,Hungary,InterCom,12/8/11,"$118,424",21.3%,"$555,337",1/15/12
The Dilemma,"$48,475,290",Universal,"January 14, 2011",Comedy,1 hrs. 58 min.,$70 million,PG-13,FOREIGN TOTAL,-,1/13/11,"$1,556,408",7.3%,"$21,246,676",8/21/11,Hungary,UIP,1/27/11,"$134,764",34.6%,"$389,450",2/20/11
Arthur Christmas,"$46,462,469",Sony / Columbia,"November 23, 2011",Animation,1 hrs. 37 min.,N/A,PG,FOREIGN TOTAL,-,11/11/11,"$3,373,654",3.3%,"$100,957,003",1/22/12,Hungary,InterCom,11/24/11,"$117,351",28.9%,"$406,396",1/1/12
Hall Pass,"$45,060,734",Warner Bros. (New Line),"February 25, 2011",Comedy,1 hrs. 38 min.,$36 million,R,FOREIGN TOTAL,-,3/2/11,"$2,272,204",6%,"$38,100,000",5/15/11,Hungary,InterCom,3/3/11,"$115,534",21.2%,"$543,703",4/24/11
The Artist,"$44,671,682",Weinstein Company,"November 25, 2011",Comedy / Drama,1 hrs. 40 min.,$15 million,PG-13,FOREIGN TOTAL,-,10/12/11,"$3,300,000",3.7%,"$88,761,174",5/13/12,Hungary,Forum,2/23/12,-,-,"$54,776",3/4/12
