title,dtg,dist,release,genre,runtime,budget,rating,foreign,foreign_dist,foreign_release,foreign_opening,foreign_pct,foreign_total,foreign_asof,hungary,hun_dist,hun_release,hun_opening,hun_pct,hun_total,hun_asof
Star Wars: The Force Awakens,,Buena Vista,"December 18, 2015",Sci-Fi Fantasy,2 hrs. 16 min.,$200 million,PG-13,FOREIGN TOTAL,-,12/16/15,"$281,000,000",26.5%,"$1,060,700,000",1/24/16,Hungary,Forum Films,12/18/15,"$1,508,298",24.4%,"$6,181,662",1/24/16
Jurassic World,"$652,270,625",Universal,"June 12, 2015",Sci-Fi Horror,2 hrs. 4 min.,$150 million,PG-13,FOREIGN TOTAL,-,6/11/15,"$316,102,740",31.1%,"$1,016,714,301",11/11/15,Hungary,UIP,6/11/15,"$604,551",29.5%,"$2,051,915",7/5/15
Avengers: Age of Ultron,"$459,005,868",Buena Vista,"May 1, 2015",Action / Adventure,2 hrs. 21 min.,$250 million,PG-13,FOREIGN TOTAL,-,4/22/15,"$201,200,000",21.3%,"$946,029,899",N/A,Hungary,Forum Films,5/7/15,"$807,040",40.7%,"$1,980,532",6/21/15
Inside Out,"$356,461,711",Buena Vista,"June 19, 2015",Animation,1 hrs. 34 min.,$175 million,PG,FOREIGN TOTAL,-,6/17/15,n/a,-,"$499,668,421",12/29/15,Hungary,Forum Films,6/25/15,"$296,617",24.3%,"$1,218,401",9/27/15
Furious 7,"$353,007,020",Universal,"April 3, 2015",Action,2 hrs. 17 min.,$190 million,PG-13,FOREIGN TOTAL,-,4/1/15,"$250,538,637",21.6%,"$1,162,040,651",10/28/15,Hungary,UIP,4/2/15,"$661,897",33.8%,"$1,958,035",5/24/15
Minions,"$336,045,770",Universal,"July 10, 2015",Animation,1 hrs. 31 min.,$74 million,PG,FOREIGN TOTAL,-,6/19/15,"$12,572,809",1.5%,"$821,229,247",11/8/15,Hungary,UIP,7/9/15,-,-,"$3,493,481",10/11/15
The Hunger Games: Mockingjay - Part 2,,Lionsgate,"November 20, 2015",Action / Adventure,2 hrs. 17 min.,$160 million,PG-13,FOREIGN TOTAL,-,11/20/15,"$144,492,026",39%,"$370,861,252",1/24/16,Hungary,Forum,11/19/15,"$519,856",41.8%,"$1,243,577",12/27/15
The Martian,,Fox,"October 2, 2015",Sci-Fi,2 hrs. 21 min.,$108 million,PG-13,FOREIGN TOTAL,-,10/2/15,"$44,621,708",12%,"$370,553,098",1/12/16,Hungary,InterCom,10/1/15,"$357,846",24.9%,"$1,438,744",12/6/15
Cinderella,"$201,151,353",Buena Vista,"March 13, 2015",Fantasy,1 hrs. 52 min.,$95 million,PG,FOREIGN TOTAL,-,3/12/15,n/a,-,"$341,535,384",N/A,Hungary,Forum Films,3/19/15,"$121,131",23.4%,"$518,592",5/10/15
Spectre,,Sony / Columbia,"November 6, 2015",Action,2 hrs. 28 min.,$245 million,PG-13,FOREIGN TOTAL,-,10/26/15,"$30,572,993",4.5%,"$678,200,000",1/24/16,Hungary,Forum,11/5/15,"$474,075",35.5%,"$1,333,699",12/20/15
Mission: Impossible - Rogue Nation,"$195,042,377",Paramount,"July 31, 2015",Action,2 hrs. 10 min.,$150 million,PG-13,FOREIGN TOTAL,-,7/24/15,"$65,000,000",13.3%,"$487,287,762",11/17/15,Hungary,-,8/6/15,-,-,"$948,600",9/27/15
Pitch Perfect 2,"$184,296,230",Universal,"May 15, 2015",Comedy,1 hrs. 55 min.,$29 million,PG-13,FOREIGN TOTAL,-,5/7/15,"$9,193,687",8.9%,"$102,847,849",11/11/15,Hungary,UIP,5/21/15,"$99,481",44.7%,"$222,570",6/7/15
Home,"$177,397,510",Fox,"March 27, 2015",Animation,1 hrs. 34 min.,$135 million,PG,FOREIGN TOTAL,-,3/18/15,n/a,-,"$208,644,097",11/3/15,Hungary,InterCom,3/26/15,"$46,959",22.9%,"$205,218",4/19/15
Hotel Transylvania 2,,Sony / Columbia,"September 25, 2015",Animation,1 hrs. 29 min.,$80 million,PG,FOREIGN TOTAL,-,9/24/15,n/a,-,"$298,584,493",1/24/16,Hungary,InterCom,10/8/15,"$356,643",27.9%,"$1,277,507",12/13/15
Fifty Shades of Grey,"$166,167,230",Universal,"February 13, 2015",Romance,2 hrs. 5 min.,$40 million,R,FOREIGN TOTAL,-,2/11/15,"$157,188,968",38.9%,"$404,322,128",N/A,Hungary,UIP,2/12/15,"$909,724",54.4%,"$1,672,429",3/15/15
The SpongeBob Movie: Sponge Out of Water,"$162,994,032",Paramount,"February 6, 2015",Animation,1 hrs. 33 min.,$74 million,PG,FOREIGN TOTAL,-,1/28/15,n/a,-,"$160,442,506",12/13/15,Hungary,UIP,2/12/15,"$282,179",26.6%,"$1,059,284",4/12/15
San Andreas,"$155,190,832",Warner Bros.,"May 29, 2015",Action,1 hrs. 54 min.,$110 million,PG-13,FOREIGN TOTAL,-,5/27/15,n/a,-,"$318,600,000",12/10/15,Hungary,InterCom,6/4/15,"$91,956",31.5%,"$291,601",7/5/15
Mad Max: Fury Road,"$153,636,354",Warner Bros.,"May 15, 2015",Sci-Fi Action,2 hrs. 0 min.,$150 million,R,FOREIGN TOTAL,-,5/14/15,n/a,-,"$222,200,000",N/A,Hungary,InterCom,5/21/15,"$327,983",39.9%,"$822,978",6/28/15
Daddy's Home,,Paramount,"December 25, 2015",Comedy,1 hrs. 36 min.,N/A,PG-13,FOREIGN TOTAL,-,12/25/15,n/a,-,"$59,300,000",1/24/16,Hungary,UIP,1/7/16,"$210,856",39.4%,"$535,111",1/24/16
The Divergent Series: Insurgent,"$130,179,072",Lionsgate/Summit,"March 20, 2015",Action / Adventure,1 hrs. 59 min.,$110 million,PG-13,FOREIGN TOTAL,-,3/18/15,n/a,-,"$167,097,257",N/A,Hungary,Big Bang,3/19/15,"$220,746",38.3%,"$576,970",4/26/15
The Peanuts Movie,,Fox,"November 6, 2015",Animation,1 hrs. 33 min.,$99 million,G,FOREIGN TOTAL,-,11/6/15,"$4,555,457",4.2%,"$108,900,285",1/24/16,Hungary,InterCom,12/24/15,"$51,486",25.4%,"$202,919",1/10/16
Kingsman: The Secret Service,"$128,261,724",Fox,"February 13, 2015",Action / Adventure,2 hrs. 9 min.,$81 million,R,FOREIGN TOTAL,-,1/30/15,n/a,-,"$286,089,822",11/11/15,Hungary,InterCom,2/12/15,"$143,045",24.9%,"$573,720",3/22/15
The Good Dinosaur,,Buena Vista,"November 25, 2015",Animation,1 hrs. 40 min.,N/A,PG,FOREIGN TOTAL,-,11/27/15,"$28,700,000",19.3%,"$148,700,000",1/10/16,Hungary,Forum Films,12/3/15,"$92,237",21%,"$439,851",1/10/16
The Revenant,,Fox,"December 25, 2015",Action / Adventure,2 hrs. 31 min.,$135 million,R,FOREIGN TOTAL,-,1/8/16,"$20,487,466",19.6%,"$104,279,270",1/24/16,Hungary,InterCom,1/14/16,"$305,694",50.5%,"$605,674",1/24/16
Spy,"$110,825,712",Fox,"June 5, 2015",Comedy,2 hrs. 0 min.,$65 million,R,FOREIGN TOTAL,-,N/A,n/a,-,"$124,840,507",11/3/15,Hungary,InterCom,5/28/15,"$41,365",4.5%,"$911,718",7/5/15
Trainwreck,"$110,212,700",Universal,"July 17, 2015",Comedy,2 hrs. 5 min.,$35 million,R,FOREIGN TOTAL,-,7/23/15,n/a,-,"$29,296,198",11/22/15,Hungary,-,8/27/15,-,-,"$103,130",9/6/15
Creed,,Warner Bros.,"November 25, 2015",Drama,2 hrs. 13 min.,$35 million,PG-13,FOREIGN TOTAL,-,11/27/15,"$2,500,000",6%,"$41,600,000",1/24/16,Hungary,Forum Films,1/21/16,"$34,626",100%,"$34,626",1/24/16
Tomorrowland,"$93,436,322",Buena Vista,"May 22, 2015",Sci-Fi,2 hrs. 10 min.,$190 million,PG,FOREIGN TOTAL,-,5/20/15,n/a,-,"$115,599,346",11/10/15,Hungary,Forum Films,5/28/15,"$94,363",51.1%,"$184,818",6/14/15
Terminator: Genisys,"$89,760,956",Paramount,"July 1, 2015",Action,2 hrs. 6 min.,$155 million,PG-13,FOREIGN TOTAL,-,6/24/15,"$8,300,000",2.4%,"$350,842,581",N/A,Hungary,UIP,7/2/15,"$273,217",100%,"$273,168",7/5/15
Taken 3,"$89,256,424",Fox,"January 9, 2015",Action,1 hrs. 49 min.,$48 million,PG-13,FOREIGN TOTAL,-,1/1/15,n/a,-,"$237,222,717",11/3/15,Hungary,-,1/8/15,"$538,254",40.3%,"$1,335,710",2/15/15
Alvin and the Chipmunks: The Road Chip,,Fox,"December 18, 2015",Family Comedy,1 hrs. 26 min.,N/A,PG,FOREIGN TOTAL,-,12/25/15,"$8,373,828",15.2%,"$54,998,274",1/24/16,Hungary,InterCom,1/21/16,"$111,703",100%,"$111,703",1/24/16
Maze Runner: The Scorch Trials,"$81,697,192",Fox,"September 18, 2015",Action / Adventure,2 hrs. 11 min.,$61 million,PG-13,FOREIGN TOTAL,-,9/10/15,"$26,800,000",11.6%,"$230,627,911",1/12/16,Hungary,InterCom,9/17/15,"$225,822",33.2%,"$679,949",10/18/15
Goosebumps,,Sony / Columbia,"October 16, 2015",Horror Comedy,1 hrs. 43 min.,$58 million,PG,FOREIGN TOTAL,-,10/16/15,n/a,-,"$52,000,000",1/24/16,Hungary,InterCom,10/29/15,"$65,342",48.9%,"$133,692",11/15/15
Paddington,"$76,271,832",Weinstein / Dimension,"January 16, 2015",Family,1 hrs. 35 min.,$55 million,PG,FOREIGN TOTAL,-,11/28/14,n/a,-,"$183,317,852",6/7/15,Hungary,A,12/11/14,"$54,708",18.1%,"$301,691",1/4/15
The Intern,"$75,764,672",Warner Bros.,"September 25, 2015",Comedy,2 hrs. 1 min.,$35 million,PG-13,FOREIGN TOTAL,-,9/24/15,"$12,500,000",10.6%,"$118,300,000",12/30/15,Hungary,InterCom,9/24/15,"$159,775",20.9%,"$765,922",12/6/15
Bridge of Spies,,Buena Vista,"October 16, 2015",Thriller,2 hrs. 20 min.,$40 million,PG-13,FOREIGN TOTAL,-,10/16/15,n/a,-,"$89,373,026",1/24/16,Hungary,InterCom,11/26/15,"$141,423",25.9%,"$545,110",1/3/16
Paul Blart: Mall Cop 2,"$71,038,190",Sony / Columbia,"April 17, 2015",Comedy,1 hrs. 34 min.,$30 million,PG,FOREIGN TOTAL,-,4/9/15,n/a,-,"$36,550,035",1/17/16,Hungary,InterCom,4/16/15,"$68,024",30.3%,"$224,214",5/17/15
Magic Mike XXL,"$66,013,057",Warner Bros.,"July 1, 2015",Comedy / Drama,1 hrs. 55 min.,$14.8 million,R,FOREIGN TOTAL,-,7/1/15,n/a,-,"$56,500,000",N/A,Hungary,InterCom,7/2/15,"$78,963",100%,"$78,963",7/5/15
The Wedding Ringer,"$64,460,211",Sony / Screen Gems,"January 16, 2015",Comedy,1 hrs. 41 min.,$23 million,R,FOREIGN TOTAL,-,1/22/15,n/a,-,"$15,339,669",5/10/15,Hungary,InterCom,3/26/15,"$65,593",19.3%,"$340,472",5/10/15
Black Mass,"$62,575,678",Warner Bros.,"September 18, 2015",Crime Drama,2 hrs. 2 min.,$53 million,R,FOREIGN TOTAL,-,9/18/15,n/a,-,"$32,500,000",12/30/15,Hungary,InterCom,11/12/15,"$62,004",42.8%,"$144,708",11/29/15
Vacation,"$58,884,188",Warner Bros. (New Line),"July 29, 2015",Comedy,1 hrs. 39 min.,$31 million,R,FOREIGN TOTAL,-,7/30/15,n/a,-,"$45,800,000",N/A,Hungary,InterCom,8/27/15,-,-,"$702,477",10/11/15
Joy,,Fox,"December 25, 2015",Comedy / Drama,2 hrs. 4 min.,$60 million,PG-13,FOREIGN TOTAL,-,12/25/15,"$2,004,258",5.6%,"$36,059,732",1/24/16,Hungary,InterCom,12/31/15,"$68,310",52.6%,"$129,855",1/10/16
Focus,"$53,862,963",Warner Bros.,"February 27, 2015",Comedy,1 hrs. 44 min.,$50.1 million,R,FOREIGN TOTAL,-,2/25/15,n/a,-,"$105,200,000",N/A,Hungary,InterCom,2/26/15,"$142,722",419.9%,"$33,989",3/29/15
Southpaw,"$52,421,953",Weinstein Company,"July 24, 2015",Drama,2 hrs. 3 min.,$30 million,R,FOREIGN TOTAL,-,7/22/15,n/a,-,"$39,185,058",12/13/15,Hungary,Forum,10/15/15,"$20,612",100%,"$20,612",10/18/15
Insidious Chapter 3,"$52,218,558",Focus Features,"June 5, 2015",Horror,1 hrs. 37 min.,$10 million,PG-13,FOREIGN TOTAL,-,6/2/15,n/a,-,"$60,765,331",1/10/16,Hungary,InterCom,6/18/15,"$27,788",100%,"$27,788",6/21/15
The Hateful Eight,,Weinstein Company,"December 25, 2015",Western,2 hrs. 47 min.,$44 million,R,FOREIGN TOTAL,-,1/6/16,"$16,129,459",31.6%,"$51,007,561",1/24/16,Hungary,Forum Films,1/7/16,"$268,774",45.8%,"$586,650",1/24/16
Poltergeist,"$47,425,125",Fox,"May 22, 2015",Horror,1 hrs. 33 min.,$35 million,PG-13,FOREIGN TOTAL,-,N/A,n/a,-,"$48,012,869",11/3/15,Hungary,Forum Films,5/28/15,"$55,467",40.9%,"$135,617",6/14/15
Jupiter Ascending,"$47,387,723",Warner Bros.,"February 6, 2015",Sci-Fi,2 hrs. 7 min.,$176 million,PG-13,FOREIGN TOTAL,-,2/4/15,n/a,-,"$136,500,000",8/25/15,Hungary,InterCom,2/5/15,"$217,641",39.9%,"$545,271",3/1/15
Sicario,"$46,889,293",Lionsgate,"September 18, 2015",Action Drama,2 hrs. 1 min.,$30 million,R,FOREIGN TOTAL,-,9/17/15,n/a,-,"$33,664,532",11/15/15,Hungary,-,10/22/15,"$76,825",41%,"$187,339",11/8/15
The Man From U.N.C.L.E.,"$45,445,109",Warner Bros.,"August 14, 2015",Action,1 hrs. 56 min.,$75 million,PG-13,FOREIGN TOTAL,-,8/12/15,n/a,-,"$64,200,000",N/A,Hungary,InterCom,8/20/15,-,-,"$466,937",10/4/15
Everest,"$43,482,270",Universal,"September 18, 2015",Thriller,2 hrs. 1 min.,$55 million,PG-13,FOREIGN TOTAL,-,9/17/15,"$28,877,052",18.2%,"$158,912,408",12/6/15,Hungary,UIP,9/17/15,"$232,417",28.7%,"$811,224",10/18/15
Krampus,,Universal,"December 4, 2015",Horror Comedy,1 hrs. 38 min.,$15 million,PG-13,FOREIGN TOTAL,-,12/4/15,"$3,456,453",18.5%,"$18,719,372",1/10/16,Hungary,UIP,12/3/15,"$81,554",31%,"$263,382",12/27/15
The Age of Adaline,"$42,629,776",Lionsgate,"April 24, 2015",Drama,1 hrs. 52 min.,N/A,PG-13,FOREIGN TOTAL,-,N/A,n/a,-,n/a,N/A,Hungary,Big Bang,4/23/15,"$47,540",22.6%,"$210,325",5/24/15
The Boy Next Door,"$35,423,380",Universal,"January 23, 2015",Thriller,1 hrs. 31 min.,$4 million,R,FOREIGN TOTAL,-,1/22/15,n/a,-,"$17,001,239",N/A,Hungary,UIP,3/26/15,"$53,620",26.5%,"$202,360",4/26/15
Pan,"$35,088,320",Warner Bros.,"October 9, 2015",Fantasy,1 hrs. 51 min.,$150 million,PG,FOREIGN TOTAL,-,9/24/15,"$1,600,000",1.7%,"$91,900,000",12/30/15,Hungary,InterCom,10/22/15,"$43,335",44%,"$98,558",11/1/15
Hot Pursuit,"$34,580,201",Warner Bros.,"May 8, 2015",Comedy,1 hrs. 27 min.,$35 million,PG-13,FOREIGN TOTAL,-,5/6/15,"$1,700,000",10.1%,"$16,900,000",N/A,Hungary,Forum Films,5/14/15,"$73,371",34.3%,"$213,667",6/7/15
Woman in Gold,"$33,307,793",Weinstein Company,"April 1, 2015",Drama,1 hrs. 49 min.,$11 million,PG-13,FOREIGN TOTAL,-,4/2/15,"$33,694",0.1%,"$28,311,980",12/13/15,Hungary,Forum Films,5/21/15,"$18,781",100%,"$18,781",5/24/15
The Second Best Exotic Marigold Hotel,"$33,078,266",Fox Searchlight,"March 6, 2015",Comedy / Drama,2 hrs. 2 min.,$10 million,PG,FOREIGN TOTAL,-,2/26/15,n/a,-,"$52,900,000",5/31/15,Hungary,InterCom,4/2/15,"$29,078",44.6%,"$65,172",4/12/15
Entourage,"$32,363,404",Warner Bros.,"June 3, 2015",Comedy,1 hrs. 44 min.,$30 million,R,FOREIGN TOTAL,-,6/4/15,n/a,-,"$16,900,000",N/A,Hungary,InterCom,6/25/15,"$47,259",61.9%,"$76,396",7/5/15
Chappie,"$31,569,268",Sony / Columbia,"March 6, 2015",Sci-Fi Action,2 hrs. 0 min.,$49 million,R,FOREIGN TOTAL,-,3/4/15,n/a,-,"$70,500,000",5/24/15,Hungary,InterCom,3/5/15,"$64,518",58.7%,"$109,825",3/15/15
Crimson Peak,"$31,090,320",Universal,"October 16, 2015",Horror,1 hrs. 59 min.,$55 million,R,FOREIGN TOTAL,-,10/16/15,"$13,602,653",31.4%,"$43,366,613",1/10/16,Hungary,UIP,10/15/15,"$85,814",41.8%,"$205,191",11/1/15
Point Break,,Warner Bros.,"December 25, 2015",Action,1 hrs. 53 min.,$105 million,PG-13,FOREIGN TOTAL,-,12/4/15,"$14,100,000",16.9%,"$83,614,749",1/24/16,Hungary,Big Bang,12/31/15,"$129,263",39.7%,"$325,824",1/17/16
Sinister 2,"$27,740,955",Focus Features,"August 21, 2015",Horror,1 hrs. 37 min.,$10 million,R,FOREIGN TOTAL,-,N/A,n/a,-,n/a,N/A,Hungary,InterCom,8/20/15,-,-,"$117,721",9/6/15
The Last Witch Hunter,"$27,367,660",Lionsgate/Summit,"October 23, 2015",Action Fantasy,1 hrs. 46 min.,$90 million,PG-13,FOREIGN TOTAL,-,10/23/15,"$13,448,344",12.3%,"$109,010,624",1/24/16,Hungary,Big Bang,10/22/15,"$172,371",36.4%,"$474,004",11/29/15
Ricki and the Flash,"$26,822,144",TriStar,"August 7, 2015",Comedy / Drama,1 hrs. 41 min.,$18 million,PG-13,FOREIGN TOTAL,-,8/5/15,n/a,-,"$13,269,392",12/6/15,Hungary,InterCom,9/10/15,"$28,660",51.1%,"$56,141",9/20/15
Run All Night,"$26,461,644",Warner Bros.,"March 13, 2015",Action,1 hrs. 54 min.,$50 million,R,FOREIGN TOTAL,-,3/11/15,n/a,-,"$45,130,000",N/A,Hungary,InterCom,3/12/15,"$108,655",39.3%,"$276,357",4/5/15
Love the Coopers,"$26,302,731",Lionsgate,"November 13, 2015",Comedy,1 hrs. 47 min.,$17 million,PG-13,FOREIGN TOTAL,-,11/26/15,n/a,-,n/a,N/A,Hungary,Freeman,12/10/15,"$150,804",22.4%,"$671,986",1/3/16
The Lazarus Effect,"$25,801,047",Relativity,"February 27, 2015",Horror,1 hrs. 23 min.,$3.3 million,PG-13,FOREIGN TOTAL,-,2/26/15,n/a,-,"$38,309,681",8/17/15,Hungary,Big Bang,4/9/15,"$37,924",30.2%,"$125,511",5/3/15
In the Heart of the Sea,,Warner Bros.,"December 11, 2015",Drama,2 hrs. 1 min.,$100 million,PG-13,FOREIGN TOTAL,-,12/3/15,"$18,500,000",28.2%,"$65,600,000",1/17/16,Hungary,InterCom,12/10/15,"$47,335",58.7%,"$80,685",12/20/15
Hitman: Agent 47,"$22,467,450",Fox,"August 21, 2015",Action / Adventure,1 hrs. 36 min.,$35 million,R,FOREIGN TOTAL,-,8/19/15,n/a,-,"$59,880,206",11/11/15,Hungary,InterCom,8/27/15,-,-,"$172,246",9/13/15
American Sniper,"$350,126,372",Warner Bros.,"December 25, 2014",Drama,2 hrs. 12 min.,$58.8 million,R,FOREIGN TOTAL,-,1/1/15,n/a,-,"$197,300,000",11/30/15,Hungary,InterCom,2/19/15,"$140,253",44.4%,"$315,890",3/8/15
The Hunger Games: Mockingjay - Part 1,"$337,135,885",Lionsgate,"November 21, 2014",Action / Adventure,2 hrs. 3 min.,$125 million,PG-13,FOREIGN TOTAL,-,11/19/14,"$152,000,000",36.3%,"$418,220,826",7/23/15,Hungary,Forum Films,11/20/14,"$553,180",40.1%,"$1,379,196",7/23/15
Guardians of the Galaxy,"$333,176,600",Buena Vista,"August 1, 2014",Action / Adventure,2 hrs. 1 min.,$170 million,PG-13,FOREIGN TOTAL,-,7/30/14,"$66,400,000",15.1%,"$440,135,799",N/A,Hungary,Forum,8/14/14,"$502,638",30.9%,"$1,625,312",10/19/14
Captain America: The Winter Soldier,"$259,766,572",Buena Vista,"April 4, 2014",Action / Adventure,2 hrs. 16 min.,$170 million,PG-13,FOREIGN TOTAL,-,3/26/14,"$75,200,000",16.5%,"$454,654,931",11/10/15,Hungary,Forum,4/10/14,"$357,017",34.1%,"$1,046,447",5/18/14
The LEGO Movie,"$257,760,692",Warner Bros.,"February 7, 2014",Animation,1 hrs. 40 min.,$60 million,PG,FOREIGN TOTAL,-,2/5/14,"$18,700,000",8.8%,"$211,400,000",N/A,Hungary,InterCom,2/6/14,"$221,716",28%,"$791,334",3/30/14
The Hobbit: The Battle of the Five Armies,"$255,119,788",Warner Bros. (New Line),"December 17, 2014",Fantasy,2 hrs. 24 min.,N/A,PG-13,FOREIGN TOTAL,-,12/10/14,n/a,-,"$700,900,000",8/25/15,Hungary,Forum,12/17/14,"$713,791",32.5%,"$2,196,925",1/25/15
Transformers: Age of Extinction,"$245,439,076",Paramount,"June 27, 2014",Sci-Fi Action,2 hrs. 45 min.,$210 million,PG-13,FOREIGN TOTAL,-,6/25/14,"$202,100,000",23.5%,"$858,614,996",N/A,Hungary,UIP,6/26/14,"$462,816",28.4%,"$1,629,275",8/10/14
Maleficent,"$241,410,378",Buena Vista,"May 30, 2014",Fantasy,1 hrs. 37 min.,$180 million,PG,FOREIGN TOTAL,-,5/28/14,"$100,600,000",19.5%,"$517,129,407",N/A,Hungary,Forum Films,6/5/14,"$175,822",20.1%,"$873,145",7/27/14
X-Men: Days of Future Past,"$233,921,534",Fox,"May 23, 2014",Action / Adventure,2 hrs. 11 min.,$200 million,PG-13,FOREIGN TOTAL,-,5/21/14,"$172,042,661",33.5%,"$513,941,241",N/A,Hungary,InterCom,5/22/14,"$337,004",33.8%,"$997,509",6/29/14
Big Hero 6,"$222,527,828",Buena Vista,"November 7, 2014",Animation,1 hrs. 48 min.,$165 million,PG,FOREIGN TOTAL,-,10/25/14,"$5,000,000",1.1%,"$435,290,784",N/A,Hungary,Forum Films,1/8/15,"$135,517",25.4%,"$534,553",2/8/15
Dawn of the Planet of the Apes,"$208,545,589",Fox,"July 11, 2014",Sci-Fi Action,2 hrs. 10 min.,$170 million,PG-13,FOREIGN TOTAL,-,7/9/14,"$30,669,913",6.1%,"$502,098,977",11/3/15,Hungary,InterCom,7/17/14,"$118,136",30.2%,"$391,164",8/10/14
The Amazing Spider-Man 2,"$202,853,933",Sony / Columbia,"May 2, 2014",Action / Adventure,2 hrs. 22 min.,N/A,PG-13,FOREIGN TOTAL,-,4/16/14,"$46,176,926",9.1%,"$506,128,390",9/28/14,Hungary,InterCom,5/1/14,"$268,308",47.1%,"$569,104",6/1/14
Godzilla,"$200,676,069",Warner Bros.,"May 16, 2014",Sci-Fi Action,2 hrs. 3 min.,$160 million,PG-13,FOREIGN TOTAL,-,5/14/14,"$103,400,000",31.5%,"$328,400,000",N/A,Hungary,InterCom,5/15/14,"$393,554",56.5%,"$697,029",6/8/14
22 Jump Street,"$191,719,337",Sony / Columbia,"June 13, 2014",Action Comedy,1 hrs. 52 min.,$50 million,R,FOREIGN TOTAL,-,6/5/14,"$8,967,505",6.4%,"$139,614,539",11/16/14,Hungary,InterCom,8/21/14,"$162,936",28.8%,"$565,087",10/12/14
Teenage Mutant Ninja Turtles,"$191,204,754",Paramount,"August 8, 2014",Action / Adventure,1 hrs. 41 min.,$125 million,PG-13,FOREIGN TOTAL,-,8/7/14,"$29,000,000",9.6%,"$302,128,830",N/A,Hungary,UIP,8/26/14,"$160,294",42.4%,"$378,407",9/21/14
Interstellar,"$188,020,017",Paramount,"November 5, 2014",Sci-Fi Adventure,2 hrs. 49 min.,$165 million,PG-13,FOREIGN TOTAL,-,11/5/14,"$82,900,000",17%,"$487,100,000",8/26/15,Hungary,InterCom,11/6/14,"$363,415",26.7%,"$1,363,360",12/21/14
How to Train Your Dragon 2,"$177,002,924",Fox,"June 13, 2014",Animation,1 hrs. 45 min.,$145 million,PG,FOREIGN TOTAL,-,6/12/14,"$23,966,731",5.4%,"$444,534,595",11/3/15,Hungary,InterCom,6/19/14,"$399,131",20.6%,"$1,934,257",8/24/14
Gone Girl,"$167,767,189",Fox,"October 3, 2014",Thriller,2 hrs. 25 min.,$61 million,R,FOREIGN TOTAL,-,10/1/14,"$24,487,431",12.1%,"$201,563,174",11/3/15,Hungary,InterCom,10/2/14,"$158,227",19.6%,"$805,417",11/16/14
Divergent,"$150,947,895",Lionsgate/Summit,"March 21, 2014",Action / Adventure,2 hrs. 23 min.,$85 million,PG-13,FOREIGN TOTAL,-,6/20/15,n/a,-,"$137,937,923",4/2/15,Hungary,Provideo,3/20/14,"$89,123",22.4%,"$397,042",4/27/14
Neighbors,"$150,157,400",Universal,"May 9, 2014",Comedy,1 hrs. 36 min.,$18 million,R,FOREIGN TOTAL,-,5/8/14,"$33,729,172",28%,"$120,461,000",N/A,Hungary,UIP,5/15/14,"$230,699",25.9%,"$892,090",8/3/14
Ride Along,"$134,938,200",Universal,"January 17, 2014",Comedy,1 hrs. 40 min.,$25 million,PG-13,FOREIGN TOTAL,-,1/23/14,"$1,177,280",6%,"$19,530,702",N/A,Hungary,UIP,3/20/14,"$55,593",29.7%,"$187,394",4/20/14
Rio 2,"$131,538,435",Fox,"April 11, 2014",Animation,1 hrs. 41 min.,$103 million,G,FOREIGN TOTAL,-,3/20/14,"$10,591,616",2.9%,"$368,563,537",N/A,Hungary,InterCom,4/10/14,"$232,544",17.1%,"$1,361,075",6/22/14
Lucy,"$126,663,600",Universal,"July 25, 2014",Sci-Fi Action,1 hrs. 30 min.,$40 million,R,FOREIGN TOTAL,-,7/30/14,"$5,020,114",1.5%,"$336,696,463",N/A,Hungary,UIP,8/7/14,"$295,081",26.1%,"$1,129,685",10/12/14
The Fault in our Stars,"$124,872,350",Fox,"June 6, 2014",Drama,2 hrs. 5 min.,$12 million,PG-13,FOREIGN TOTAL,-,6/5/14,"$16,338,420",9%,"$182,294,484",11/3/15,Hungary,InterCom,6/5/14,"$30,723",27.9%,"$110,034",6/22/14
Unbroken,"$115,637,895",Universal,"December 25, 2014",War Drama,2 hrs. 17 min.,$65 million,PG-13,FOREIGN TOTAL,-,12/25/14,n/a,-,"$47,640,462",N/A,Hungary,UIP,2/5/15,"$27,242",100%,"$27,242",2/8/15
Night at the Museum: Secret of the Tomb,"$113,746,621",Fox,"December 19, 2014",Family Adventure,1 hrs. 37 min.,$127 million,PG,FOREIGN TOTAL,-,12/17/14,n/a,-,"$249,458,014",11/3/15,Hungary,InterCom,12/25/14,"$137,396",32.4%,"$424,117",1/18/15
Mr. Peabody & Sherman,"$111,506,430",Fox,"March 7, 2014",Animation,1 hrs. 30 min.,$145 million,PG,FOREIGN TOTAL,-,2/7/14,"$6,438,533",3.9%,"$164,191,609",11/3/15,Hungary,InterCom,3/13/14,"$120,984",32.2%,"$376,296",4/20/14
300: Rise of An Empire,"$106,580,051",Warner Bros.,"March 7, 2014",Period Action,1 hrs. 42 min.,$110 million,R,FOREIGN TOTAL,-,3/5/14,"$88,800,000",38.4%,"$231,000,000",N/A,Hungary,InterCom,3/6/14,"$361,511",40.1%,"$900,974",4/6/14
The Maze Runner,"$102,427,862",Fox,"September 19, 2014",Sci-Fi Thriller,1 hrs. 53 min.,$34 million,PG-13,FOREIGN TOTAL,-,9/11/14,"$8,532,896",3.5%,"$245,891,999",11/3/15,Hungary,InterCom,9/18/14,"$116,548",27.3%,"$426,153",10/19/14
